,Unnamed: 0,ISIN,Currency,Exchange,ETF Underlying Index Ticker,Dvd Freq,Code,Type,Name,GICS Sector,GICS Ind Name,Name.1,ExchangeCode,Country
0,0,IE00BKP5L409,EUR,NA,LUMSTRUU,None,IMBE,ETP,ISHARES US MBS EUR-HA,#N/A N/A,#N/A N/A,ISH US MBS €HA,AS,The Netherlands
1,1,FR0010411884,EUR,FP,CACDSH,None,BX4,ETP,LYXOR CAC40 DX2SHRT,#N/A N/A,#N/A N/A,LYX CAC40 DDS,PA,France
2,2,FR0010592014,EUR,FP,CACGL,Annual,LVC,ETP,LYXOR CAC 40 DAILY 2X LEV,#N/A N/A,#N/A N/A,LYX CAC40 D 2X L,PA,France
3,3,IE00B0M62Y33,EUR,NA,AEXNR,Quarter,IAEX,ETP,ISHARES AEX,#N/A N/A,#N/A N/A,ISHARES AEX,AS,The Netherlands
4,4,IE00B4L5Y983,USD,LN,NDDUWI,None,IWDA,ETP,ISHARES CORE MSCI WORLD,#N/A N/A,#N/A N/A,ISH CORE MSCI WD,LSE,United Kingdom
5,5,NL0009272749,EUR,NA,AEX,Quarter,TDT,ETP,VANECK AEX UCITS ETF,#N/A N/A,#N/A N/A,VANECK AEX UCITS,AS,The Netherlands
6,6,IE00B3XXRP09,GBP,LN,SPTR500N,Quarter,VUSA,ETP,VANG S&P500 USDD,#N/A N/A,#N/A N/A,VANG S&P500 $DIS,LSE,United Kingdom
7,7,IE00B3RBWM25,GBP,LN,TAWNT01U,Quarter,VWRL,ETP,VANG FTSE AW USDD,#N/A N/A,#N/A N/A,VANG FTSE AL $D,LSE,United Kingdom
8,8,FR0010342592,EUR,FP,XNDXNNRL,Irreg,LQQ,ETP,LYXOR NASDAQ 100 DALY LEV,#N/A N/A,#N/A N/A,LYX NASQ100 DLEV,PA,France
9,9,IE00BKWQ0G16,EUR,FP,NE731540,None,STZ,ETP,SPDR EUROPE FINANCIALS,#N/A N/A,#N/A N/A,SPDR EUR FINCLS,PA,France
10,10,IE00B53SZB19,USD,LN,XNDXNNR,None,CNDX,ETP,ISHARES NASDAQ 100 USD ACC,#N/A N/A,#N/A N/A,ISH NASDAQ100 $A,LSE,United Kingdom
11,11,NL0009690221,EUR,NA,TGLOEI,Quarter,TGET,ETP,VANECK GLOBAL EQ WT ETF,#N/A N/A,#N/A N/A,VANECK GLB EQ WT,AS,The Netherlands
12,12,FR0007052782,EUR,FP,CACR,Semi-Anl,CAC,ETP,LYXOR CAC 40,#N/A N/A,#N/A N/A,LYX CAC 40,PA,France
13,13,IE00B14X4S71,USD,LN,IDCOT14,Semi-Anl,IDBT,ETP,ISHARES USD TRSRY 1-3Y USD D,#N/A N/A,#N/A N/A,ISH $TRS 1-3Y $D,LSE,United Kingdom
14,14,LU1327051279,EUR,IM,SPXT2IUT,None,SPX2S,ETP,LYXOR DDS S&P500,#N/A N/A,#N/A N/A,LYX DDS S&P500,MI,Italy
15,15,IE0031442068,USD,LN,SPTR500N,Quarter,IDUS,ETP,ISHARES CORE S&P 500,#N/A N/A,#N/A N/A,ISHR CORE S&P500,LSE,United Kingdom
16,16,JE00B1VS3770,EUR,IM,GOLDLNPM,None,PHAU,ETP,WISDOMTREE PHYSICAL GOLD,#N/A N/A,#N/A N/A,WT PHYSICAL GOLD,MI,Italy
17,17,IE00B0M62Q58,GBp,LN,NDDUWI,Quarter,IWRD,ETP,ISHARES MSCI WORLD,#N/A N/A,#N/A N/A,ISHR MSCI WORLD,LSE,United Kingdom
18,18,IE00B1YZSC51,EUR,NA,MSDEE15N,Quarter,IMEU,ETP,ISHARES CORE MSCI EUROPE,#N/A N/A,#N/A N/A,ISH CORE MSCI ER,AS,The Netherlands
19,19,LU1681043599,EUR,FP,MSDEWIN,None,CW8,ETP,AMUNDI MSCI WORLD UCITS-EUR,#N/A N/A,#N/A N/A,AMUNDI MSCI W-€,PA,France
20,20,LU0252634307,EUR,GY,D1AJ,None,LYXLEDAX,ETP,LYX ETF DAILY LEV DAX,#N/A N/A,#N/A N/A,LYXETF D-LEVDAX,XETRA,Germany
21,21,GB00B0CTWC01,EUR,NA,#N/A Field Not Applicable,#N/A N/A,OILB,ETP,ETFS BRENT 1MTH OIL SECR-EUR,#N/A N/A,#N/A N/A,ETFS BRENT 1MTH,AS,The Netherlands
22,22,IE00BYTRRD19,USD,LN,NU731552,None,WTEC,ETP,SPDR WORLD TECHNOLOGY,#N/A N/A,#N/A N/A,SPDR WORLD TECH,LSE,United Kingdom
23,23,IE00B7LGZ558,EUR,LN,LTFRTREU,Semi-Anl,IFRB,ETP,ISHARES FRANCE GOVT BND,#N/A N/A,#N/A N/A,ISHR FRANCE GOV,LSE,United Kingdom
24,24,IE00B5BMR087,USD,LN,SPTR500N,None,CSPX,ETP,ISHARES CORE S&P 500,#N/A N/A,#N/A N/A,ISHR CORE S&P500,LSE,United Kingdom
25,25,LU1681046931,EUR,FP,NCAC,Annual,C40,ETP,AMUNDI CAC 40 UCITS ETF,#N/A N/A,#N/A N/A,AMUNDI ETF CAC 4,PA,France
26,26,IE0008471009,EUR,GY,SX5T,Quarter,EUN2,ETP,ISHARES CORE EURO STOXX 50,#N/A N/A,#N/A N/A,ISH CORE STX50,XETRA,Germany
27,27,IE00B3F81R35,EUR,LN,LECPTREU,Semi-Anl,IEAC,ETP,ISHARES CORE EURO CORP BOND,#N/A N/A,#N/A N/A,ISHR CORE € CORP,LSE,United Kingdom
28,28,FR0007054358,EUR,FP,SX5T,Semi-Anl,MSE,ETP,LYXOR EUROSTOXX 50 DR,#N/A N/A,#N/A N/A,LYXETF STX50 DR,PA,France
29,29,FR0010869495,EUR,FP,SHRTDAX2,None,DSD,ETP,LYXOR DAILY SHORTDAX X2,#N/A N/A,#N/A N/A,LYX D-SHRTDAX X2,PA,France
30,30,IE00B441G979,EUR,IM,MXWOHEUR,None,IWDE,ETP,ISHARES MSCI WORLD EUR-H,#N/A N/A,#N/A N/A,ISHR WRLD €-H,MI,Italy
31,31,IE00BCRY6557,EUR,LN,IBXXUSE1,Irreg,ERNE,ETP,ISHARES EURO ULTRASHORT BOND,#N/A N/A,#N/A N/A,ISHR € ULTSHT BD,LSE,United Kingdom
32,32,GB00B00FHZ82,USD,LN,GOLDLNPM,None,GBS,ETP,GOLD BULLION SECURITIES LTD,#N/A N/A,#N/A N/A,GLD BULLION SCRT,LSE,United Kingdom
33,33,GB00B15KXV33,USD,LN,BCLMTTR,None,CRUD,ETP,WT WTI CRUDE OIL,#N/A N/A,#N/A N/A,WT WTI,LSE,United Kingdom
34,34,IE00BKM4GZ66,USD,LN,MIMUEMRN,None,EIMI,ETP,ISHARES CORE EM IMI ACC,#N/A N/A,#N/A N/A,ISHR CORE EM IMI,LSE,United Kingdom
35,35,FR0010756064,EUR,GR,CACTL,#N/A N/A,AFIT,ETP,AMUNDI ETF LEVERAGED CAC 40,#N/A N/A,#N/A N/A,AMUNDI ETF LEVER,XETRA,Germany
36,36,LU0629460832,EUR,NA,NU734933,Semi-Anl,UIMT,ETP,UBS ETF MSCI PACIFIC SRI DIS,#N/A N/A,#N/A N/A,UBS ETF PC SR-D,AS,The Netherlands
37,37,NL0010408704,EUR,NA,TTMTTSWE,Quarter,TSWE,ETP,VANECK SUST WLD EQ WT ETF,#N/A N/A,#N/A N/A,VNCK ST WD EQ WT,AS,The Netherlands
38,38,FR0010591362,EUR,FP,CACSH,None,SHC,ETP,LYXOR CAC 40 DAILY -1X INVER,#N/A N/A,#N/A N/A,LYX CAC40 D -1X,PA,France
39,39,IE00B3VVMM84,GBP,LN,TAWALENU,Quarter,VFEM,ETP,VANG FTSE EM USDD,#N/A N/A,#N/A N/A,VANG FTSE EM $D,LSE,United Kingdom
