Unnamed: 0,ISIN,Currency,Exchange,ETF Underlying Index Ticker,Dvd Freq,Code,Type,Name,GICS Sector,GICS Ind Name,Name.1,ExchangeCode,Country,AssetType
1,NL0000235190,EUR,FP,#N/A Field Not Applicable,Annual,AIR,Common Stock,AIRBUS SE,Industrials,Aerospace & Defense,AIRBUS SE,PA,France,Equity
2,FR0000120271,EUR,FP,#N/A Field Not Applicable,Quarter,TTE,Common Stock,TOTALENERGIES SE,Energy,Oil- Gas & Consumable Fuels,TOTALENERGIES SE,PA,France,Equity
3,FR0010397232,EUR,FP,#N/A Field Not Applicable,#N/A N/A,ALNOV,Common Stock,NOVACYT,Health Care,Biotechnology,NOVACYT,PA,France,Equity
4,FR0000130809,EUR,FP,#N/A Field Not Applicable,Annual,GLE,Common Stock,SOCIETE GENERALE SA,Financials,Banks,SOC GENERALE SA,PA,France,Equity
5,FR0000131104,EUR,FP,#N/A Field Not Applicable,Annual,BNP,Common Stock,BNP PARIBAS,Financials,Banks,BNP PARIBAS,PA,France,Equity
6,FR0000131906,EUR,FP,#N/A Field Not Applicable,Annual,RNO,Common Stock,RENAULT SA,Consumer Discretionary,Automobiles,RENAULT SA,PA,France,Equity
7,FR0000031122,EUR,FP,#N/A Field Not Applicable,Irreg,AF,Common Stock,AIR FRANCE-KLM,Industrials,Airlines,AIR FRANCE-KLM,PA,France,Equity
8,FR0000045072,EUR,FP,#N/A Field Not Applicable,Annual,ACA,Common Stock,CREDIT AGRICOLE SA,Financials,Banks,CREDIT AGRICOLE,PA,France,Equity
9,FR0000121014,EUR,FP,#N/A Field Not Applicable,Semi-Anl,MC,Common Stock,LVMH MOET HENNESSY LOUIS VUI,Consumer Discretionary,Textiles- Apparel & Luxury Goo,LVMH MOET HENNE,PA,France,Equity
10,FR0013181864,EUR,FP,#N/A Field Not Applicable,Irreg,CGG,Common Stock,CGG SA,Energy,Energy Equipment & Services,CGG SA,PA,France,Equity
11,FR0000120685,EUR,FP,#N/A Field Not Applicable,Annual,KN,Common Stock,NATIXIS,Financials,Capital Markets,NATIXIS,PA,France,Equity
12,FR0000120073,EUR,FP,#N/A Field Not Applicable,Annual,AI,Common Stock,AIR LIQUIDE SA,Materials,Chemicals,AIR LIQUIDE SA,PA,France,Equity
13,FR0000121501,EUR,FP,#N/A Field Not Applicable,Annual,UG,Common Stock,PEUGEOT SA,Consumer Discretionary,Automobiles,PEUGEOT SA,PA,France,Equity
14,FR0000120578,EUR,FP,#N/A Field Not Applicable,Annual,SAN,Common Stock,SANOFI,Health Care,Pharmaceuticals,SANOFI,PA,France,Equity
15,FR0000120628,EUR,FP,#N/A Field Not Applicable,Annual,CS,Common Stock,AXA SA,Financials,Insurance,AXA,PA,France,Equity
16,FR0004163111,EUR,FP,#N/A Field Not Applicable,None,GNFT,Common Stock,GENFIT,Health Care,Biotechnology,GENFIT,PA,France,Equity
17,FR0013066750,EUR,FP,#N/A Field Not Applicable,None,ALDBT,Common Stock,DBT,Industrials,Electrical Equipment,DBT,PA,France,Equity
18,FR0000073272,EUR,FP,#N/A Field Not Applicable,Annual,SAF,Common Stock,SAFRAN SA,Industrials,Aerospace & Defense,SAFRAN SA,PA,France,Equity
19,FR0011051598,EUR,FP,#N/A Field Not Applicable,None,ALMIB,Common Stock,AMOEBA SAS,Materials,Chemicals,AMOEBA SAS,PA,France,Equity
