,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq
0,IE00BKP5L409,IMBE,ISHARES US MBS EUR-HA,The Netherlands,NA,EUR,ETP,AS,LUMSTRUU,None
1,FR0010411884,BX4,LYXOR CAC40 DX2SHRT,France,FP,EUR,ETP,PA,CACDSH,None
2,FR0010592014,LVC,LYXOR CAC 40 DAILY 2X LEV,France,FP,EUR,ETP,PA,CACGL,Annual
3,IE00B0M62Y33,IAEX,ISHARES AEX,The Netherlands,NA,EUR,ETP,AS,AEXNR,Quarter
4,IE00B4L5Y983,IWDA,ISHARES CORE MSCI WORLD,United Kingdom,LN,USD,ETP,LSE,NDDUWI,None
5,NL0009272749,TDT,VANECK AEX UCITS ETF,The Netherlands,NA,EUR,ETP,AS,AEX,Quarter
6,IE00B3XXRP09,VUSA,VANG S&P500 USDD,United Kingdom,LN,GBP,ETP,LSE,SPTR500N,Quarter
7,IE00B3RBWM25,VWRL,VANG FTSE AW USDD,United Kingdom,LN,GBP,ETP,LSE,TAWNT01U,Quarter
8,FR0010342592,LQQ,LYXOR NASDAQ 100 DALY LEV,France,FP,EUR,ETP,PA,XNDXNNRL,Irreg
9,IE00BKWQ0G16,STZ,SPDR EUROPE FINANCIALS,France,FP,EUR,ETP,PA,NE731540,None
10,IE00B53SZB19,CNDX,ISHARES NASDAQ 100 USD ACC,United Kingdom,LN,USD,ETP,LSE,XNDXNNR,None
11,NL0009690221,TGET,VANECK GLOBAL EQ WT ETF,The Netherlands,NA,EUR,ETP,AS,TGLOEI,Quarter
12,FR0007052782,CAC,LYXOR CAC 40,France,FP,EUR,ETP,PA,CACR,Semi-Anl
13,IE00B14X4S71,IDBT,ISHARES USD TRSRY 1-3Y USD D,United Kingdom,LN,USD,ETP,LSE,IDCOT14,Semi-Anl
14,LU1327051279,SPX2S,LYXOR DDS S&P500,Italy,IM,EUR,ETP,MI,SPXT2IUT,None
15,IE0031442068,IDUS,ISHARES CORE S&P 500,United Kingdom,LN,USD,ETP,LSE,SPTR500N,Quarter
16,JE00B1VS3770,PHAU,WISDOMTREE PHYSICAL GOLD,Italy,IM,EUR,ETP,MI,GOLDLNPM,None
17,IE00B0M62Q58,IWRD,ISHARES MSCI WORLD,United Kingdom,LN,GBp,ETP,LSE,NDDUWI,Quarter
18,IE00B1YZSC51,IMEU,ISHARES CORE MSCI EUROPE,The Netherlands,NA,EUR,ETP,AS,MSDEE15N,Quarter
19,LU1681043599,CW8,AMUNDI MSCI WORLD UCITS-EUR,France,FP,EUR,ETP,PA,MSDEWIN,None
20,LU0252634307,LYXLEDAX,LYX ETF DAILY LEV DAX,Germany,GY,EUR,ETP,XETRA,D1AJ,None
21,GB00B0CTWC01,OILB,ETFS BRENT 1MTH OIL SECR-EUR,The Netherlands,NA,EUR,ETP,AS,#N/A Field Not Applicable,#N/A N/A
22,IE00BYTRRD19,WTEC,SPDR WORLD TECHNOLOGY,United Kingdom,LN,USD,ETP,LSE,NU731552,None
23,IE00B7LGZ558,IFRB,ISHARES FRANCE GOVT BND,United Kingdom,LN,EUR,ETP,LSE,LTFRTREU,Semi-Anl
24,IE00B5BMR087,CSPX,ISHARES CORE S&P 500,United Kingdom,LN,USD,ETP,LSE,SPTR500N,None
25,LU1681046931,C40,AMUNDI CAC 40 UCITS ETF,France,FP,EUR,ETP,PA,NCAC,Annual
26,IE0008471009,EUN2,ISHARES CORE EURO STOXX 50,Germany,GY,EUR,ETP,XETRA,SX5T,Quarter
27,IE00B3F81R35,IEAC,ISHARES CORE EURO CORP BOND,United Kingdom,LN,EUR,ETP,LSE,LECPTREU,Semi-Anl
28,FR0007054358,MSE,LYXOR EUROSTOXX 50 DR,France,FP,EUR,ETP,PA,SX5T,Semi-Anl
29,FR0010869495,DSD,LYXOR DAILY SHORTDAX X2,France,FP,EUR,ETP,PA,SHRTDAX2,None
30,IE00B441G979,IWDE,ISHARES MSCI WORLD EUR-H,Italy,IM,EUR,ETP,MI,MXWOHEUR,None
31,IE00BCRY6557,ERNE,ISHARES EURO ULTRASHORT BOND,United Kingdom,LN,EUR,ETP,LSE,IBXXUSE1,Irreg
32,GB00B00FHZ82,GBS,GOLD BULLION SECURITIES LTD,United Kingdom,LN,USD,ETP,LSE,GOLDLNPM,None
33,GB00B15KXV33,CRUD,WT WTI CRUDE OIL,United Kingdom,LN,USD,ETP,LSE,BCLMTTR,None
34,IE00BKM4GZ66,EIMI,ISHARES CORE EM IMI ACC,United Kingdom,LN,USD,ETP,LSE,MIMUEMRN,None
35,FR0010756064,AFIT,AMUNDI ETF LEVERAGED CAC 40,Germany,GR,EUR,ETP,XETRA,CACTL,#N/A N/A
36,LU0629460832,UIMT,UBS ETF MSCI PACIFIC SRI DIS,The Netherlands,NA,EUR,ETP,AS,NU734933,Semi-Anl
37,NL0010408704,TSWE,VANECK SUST WLD EQ WT ETF,The Netherlands,NA,EUR,ETP,AS,TTMTTSWE,Quarter
38,FR0010591362,SHC,LYXOR CAC 40 DAILY -1X INVER,France,FP,EUR,ETP,PA,CACSH,None
39,IE00B3VVMM84,VFEM,VANG FTSE EM USDD,United Kingdom,LN,GBP,ETP,LSE,TAWALENU,Quarter
40,IE00B53L3W79,SXRT,ISHARES CORE EURO STOXX 50,Germany,GY,EUR,ETP,XETRA,SX5T,None
41,IE00B8GKDB10,VHYD,VANG FTSE HDY USDD,United Kingdom,LN,USD,ETP,LSE,TAWHDY01,Quarter
42,LU0629460089,ASRUSA,UBS ETF MSCI USA SRI UCITS,Switzerland,SW,USD,ETP,SW,NU734911,Semi-Anl
43,GB00B0CTWC01,OILB,ETFS BRENT 1MTH OIL SECR-EUR,The Netherlands,NA,EUR,ETP,AS,#N/A Field Not Applicable,#N/A N/A
44,NL0009272756,TMX,VANECK AMX UCITS ETF,The Netherlands,NA,EUR,ETP,AS,AMX,3x a yr
45,JE00B1VS3333,PHAG,WT PHYSICAL SILVER,Italy,IM,EUR,ETP,MI,SLVRLN,None
46,FR0010468983,LVE,LYXOR EURSTX50 DAILY LEV,France,FP,EUR,ETP,PA,SX5TL,Annual
47,GB00B15KXV33,CRUD,WT WTI CRUDE OIL,United Kingdom,LN,USD,ETP,LSE,BCLMTTR,None
48,IE00B4L5YX21,IJPA,ISHARES CORE MSCI JAPAN,United Kingdom,LN,USD,ETP,LSE,MIMUJPNN,None
49,FR0011869353,EWLD,LYXOR PEA MSCI WRLD,France,FP,EUR,ETP,PA,NDDUWI,None
50,IE00B945VV12,VEUR,VANG FTSE EUR EURD,United Kingdom,LN,GBP,ETP,LSE,TAWNT06E,Quarter
51,LU1834988278,OIL,LYXOR EURSTX600 OIL&GAS,France,FP,EUR,ETP,PA,SXER,Irreg
52,NL0009690239,TRET,VANECK GLB REAL ESTATE ETF,The Netherlands,NA,EUR,ETP,AS,GPR100GI,Quarter
53,FR0013416716,GOLD,AMUNDI PHYSICAL GOLD ETC,France,FP,EUR,ETP,PA,GOLDLNPM,None
54,IE00B3B8Q275,IUS6,ISHARES EURO COVERED BOND,Germany,GY,EUR,ETP,XETRA,IYGB,Semi-Anl
55,LU0252633754,DAX,LYXOR DAX DR,France,FP,EUR,ETP,PA,DAX,None
56,FR0011871110,PUST,LYXOR PEA NASDAQ 100,France,FP,EUR,ETP,PA,XNDXNNR,None
57,IE00B4WXJJ64,EUNH,ISHARES CORE EURO GOVT BOND,Germany,GY,EUR,ETP,XETRA,LEATTREU,Semi-Anl
58,LU1829221024,UST,LYXOR NASDAQ 100-ACC,Italy,IM,EUR,ETP,MI,XNDXNNR,Annual
59,FR0010717124,C4S,AMUNDI ETF SHORT CAC 40 DAIL,France,FP,EUR,ETP,PA,CACSH,None
60,IE00B4K48X80,IMAE,ISHARES CORE MSCI EUROPE ACC,The Netherlands,NA,EUR,ETP,AS,MSDEE15N,None
61,IE00BKX55S42,VERX,VANG FTSE DEX EURD,United Kingdom,LN,GBP,ETP,LSE,AWNT05EU,Quarter
62,FR0011871128,PSP5,LYXOR PEA S&P500,France,FP,EUR,ETP,PA,SPTR500N,None
63,FR0013412285,PE500,AMUNDI PEA SP500 UCITS ETF,France,FP,EUR,ETP,PA,SPTR500N,None
64,LU1829221024,UST,LYXOR NASDAQ 100-ACC,Italy,IM,EUR,ETP,MI,XNDXNNR,Annual
65,FR0013412269,PANX,AMUNDI PEA NASDAQ UCITS ETF,France,FP,EUR,ETP,PA,XNDXNNR,None
66,IE00B52VJ196,IESE,ISHARES MSCI EUROPE SRI,The Netherlands,NA,EUR,ETP,AS,NE727461,None
67,IE00BYTRRB94,WHEA,SPDR WORLD HEALTH CARE,United Kingdom,LN,USD,ETP,LSE,NU731553,None
68,LU1681046261,CB3,AMUNDI GOVT BOND EUROMTS,France,FP,EUR,ETP,PA,EMIGG5,None
69,IE00B0M63177,IEEM,ISHARES MSCI EM,United Kingdom,LN,GBp,ETP,LSE,NDUEEGF,Quarter
70,FR0010424143,BXX,LYXOR EURSTX 50 D -2X INVERS,France,FP,EUR,ETP,PA,SX5T2S,None
71,FR0010755611,CL2,AMUNDI ETF LEVERAGED MSCI US,France,FP,EUR,ETP,PA,M00UUS02,None
72,FR0000021842,BEL,LYXOR BEL 20 TR DR UCITS ETF,Belgium,BB,EUR,ETP,BR,BELPRX,Semi-Anl
73,IE00B3ZW0K18,IUSE,ISHARES S&P 500 EUR-H,United Kingdom,LN,EUR,ETP,LSE,SPXUXEN,None
74,LU0908500753,MEUD,LYXOR CORE EURSTX 600 DR,France,FP,EUR,ETP,PA,SXXR,#N/A N/A
75,NL0011683594,TDIV,VANECK DEV MKT DVD LEADERS,The Netherlands,NA,EUR,ETP,AS,MSDMDLGE,Quarter
76,IE00B52MJY50,CPXJ,ISHARES CORE MSCI PACIF X-JP,United Kingdom,LN,USD,ETP,LSE,NDDUPFXJ,None
77,LU0832435464,LVO,LYXOR S&P500 VIX FTURES ER,Italy,IM,EUR,ETP,MI,SPVIXETR,#N/A N/A
78,LU1681045370,AEEM,AMUNDI MSCI EMERG MARK,France,FP,EUR,ETP,PA,NDUEEGF,None
