,ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN.1,ExchangeCode,logo
0,US00846U1016,A,"Agilent Technologies, Inc",USA,NYSE,USD,Common Stock,US00846U1016,US,/img/logos/US/a.png
1,US02376R1023,AAL,American Airlines Group Inc,USA,NASDAQ,USD,Common Stock,US02376R1023,US,/img/logos/US/aal.png
2,US00751Y1064,AAP,"Advance Auto Parts, Inc",USA,NYSE,USD,Common Stock,US00751Y1064,US,/img/logos/US/aap.png
3,US0378331005,AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005,US,/img/logos/US/aapl.png
4,US00287Y1091,ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091,US,/img/logos/US/abbv.png
5,US03073E1055,ABC,AmerisourceBergen Corporation,USA,NYSE,USD,Common Stock,US03073E1055,US,/img/logos/US/abc.png
6,CH0012221716,ABLZF,ABB Ltd,USA,PINK,USD,Common Stock,CH0012221716,US,/img/logos/US/ABLZF.png
7,US0028241000,ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock,US0028241000,US,/img/logos/US/Abt.png
8,US00724F1012,ADBE,Adobe Inc,USA,NASDAQ,USD,Common Stock,US00724F1012,US,/img/logos/US/ADBE.png
9,DE000A1EWWW0,ADDDF,adidas AG,USA,OTCQX,USD,Common Stock,DE000A1EWWW0,US,/img/logos/US/ADDDF.png
10,US0326541051,ADI,"Analog Devices, Inc",USA,NASDAQ,USD,Common Stock,US0326541051,US,/img/logos/US/adi.png
11,US0394831020,ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020,US,/img/logos/US/adm.png
12,US0530151036,ADP,"Automatic Data Processing, Inc",USA,NASDAQ,USD,Common Stock,US0530151036,US,/img/logos/US/adp.png
13,US0185811082,ADS,Alliance Data Systems Corporation,USA,NYSE,USD,Common Stock,US0185811082,US,/img/logos/US/ads.png
14,US0527691069,ADSK,"Autodesk, Inc",USA,NASDAQ,USD,Common Stock,US0527691069,US,/img/logos/US/adsk.png
15,US0236081024,AEE,Ameren Corporation,USA,NYSE,USD,Common Stock,US0236081024,US,/img/logos/US/aee.png
