ISIN,Currency,Exchange,ETF Underlying Index Ticker,Dvd Freq,Code,check,Type,Leverage,Short Name,Short Name FR,Description,Description FR,Issuer,Name,Acc,ExchangeCode,Country,AssetType
FR0007052782,EUR,FP,CAC 40,,CAC,1,ETF,1,French market (CAC 40),Marché français (CAC 40),The Lyxor CAC 40 (DR) UCITS ETF - Dist is an ETF compliant with the UCITS directive which seeks to replicate the performance of the benchmark CAC 40 Total Return Index. The CAC 40 Total Return Index is a free-float capitalization-weighted index measuring the evolution of the performance of 40 stocks listed on the regulated market of Euronext Paris. Its purpose is to represent the evolution of the French market. It is made up of highly liquid stocks chosen from the top 100 capitalizations listed on the regulated market of Euronext Paris. The index methodology is available on www.euronext.com. Lyxor ETFs are exchange-listed investment funds that provide low-cost. faithful exposure to a benchmark index,Le Lyxor CAC 40 (DR) UCITS ETF - Dist est un ETF conforme à la directive OPCVM qui cherche à reproduire la performance de l'indice de référence CAC 40 Total Return Index. L'indice CAC 40 Total Return Index est un indice pondéré par la capitalisation flottante. mesurant l'évolution de la performance de 40 valeurs cotées sur le marché réglementé d'Euronext Paris. Il a pour vocation de représenter l'évolution du marché français. Il est composé de valeurs très liquides choisies parmi les 100 premières capitalisations cotées sur le marché réglementé d'Euronext Paris. La méthodologie de l'indice est disponible sur www.euronext.com. Les ETF Lyxor sont des fonds d'investissement cotés en bourse qui procurent une exposition fidèle et bon marché à un indice de référence.,Amundi,Lyxor CAC 40 (DR) UCITS ETF - Dist,0,PA,France,Equity
FR0010342592,EUR,FP,NASDAQ-100 Leveraged,,LQQ,1,ETF,2,Non-financial companies listed on the NASDAQ Stock Exchange.,Enteprise non-financières de la Bourse NASDAQ,The Lyxor Nasdaq-100 Daily (2x) Leveraged UCITS ETF - Acc is a UCITS-compliant ETF that seeks to replicate the performance of the benchmark Nasdaq 100 Leveraged Notional Net Total Return Index. Non-financial companies listed on the NASDAQ Stock Exchange.The Nasdaq 100 Leveraged Notional Net Total Return Index is a strategy index that reflects the evolution of the NASDAQ-100 (NDX) index with daily x2 leverage. i.e. if the underlying index grows by 2% on one trading day. the leveraged index grows by 4% on that same trading day. less borrowing costs. and vice versa. The double performance is obtained by doubling. on each trading day. the investment. via a loan. in the basket of shares of the index. The cost of borrowing is taken into account in the calculation of the Nasdaq 100 Leveraged Notional Net Total Return Index. Lyxor ETFs are exchange-listed investment funds that provide low-cost. faithful exposure to a benchmark index.,Le Lyxor Nasdaq-100 Daily (2x) Leveraged UCITS ETF - Acc est un ETF conforme à la directive OPCVM qui cherche à reproduire la performance de l'indice de référence Nasdaq 100 Leveraged Notional Net Total Return Index. NASDAQ 100 represente 100 Enteprise non-financières de la Bourse NASDAQ.L’indice Nasdaq 100 Leveraged Notional Net Total Return Index est un indice de stratégie qui reflète l’évolution de l’indice NASDAQ-100 (NDX) avec un effet de levier x2 quotidien. c’est-à-dire que si l’indice sous-jacent croît de 2% sur un jour de bourse. l’indice avec effet de levier croît de 4% sur ce même jour de bourse. minorés des coûts d’emprunt. et inversement. La double performance est obtenue par le doublement. sur chaque jour de bourse. de l’investissement. via un emprunt. dans le panier d’actions de l’indice. Le coût de l’emprunt est pris en compte dans le calcul de l’indice Nasdaq 100 Leveraged Notional Net Total Return Index. Les ETF Lyxor sont des fonds d'investissement cotés en bourse qui procurent une exposition fidèle et bon marché à un indice de référence.,Amundi,Lyxor Nasdaq-100 Daily (2x) Leveraged UCITS ETF  Acc,1,PA,France,Equity
FR0010411884,EUR,FP,CAC 40,,BX4,1,ETF,-2,French market (CAC 40),Marché français (CAC 40),The Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc is a UCITS-compliant ETF that seeks to replicate the performance of the CAC 40 Double Short Gross Return benchmark index. The CAC 40 Double Short Gross Return index offers inverse exposure. readjusted daily. upwards or downwards to the evolution of the CAC40 Gross Total Return index. with a leverage effect x2. Thus. in the event of a fall in the CAC40 Gross Total Return index over a trading day. the FCP's net asset value will increase twice over the same trading day and. in the event of a rise in the CAC40 Gross Total Return index over a stock market. the FCP's net asset value will drop twice on the same trading day and unitholders will not benefit from the rise in the CAC40 Gross Total Return index. Lyxor ETFs are exchange-listed investment funds that provide low-cost. faithful exposure to a benchmark index.,Le Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc est un ETF conforme à la directive OPCVM qui cherche à reproduire la performance de l'indice de référence CAC 40 Double Short Gross Return. L’indice CAC 40 Double Short Gross Return offre une exposition inverse. réajustée quotidiennement. à la hausse ou à la baisse à l’évolution de l’indice CAC40 Gross Total Return. avec un effet de levier x2. Ainsi. en cas de baisse sur un jour de bourse de l’indice CAC40 Gross Total Return. la valeur liquidative du FCP augmentera doublement sur le même jour de bourse et. en cas de hausse de l’indice CAC40 Gross Total Return sur un jour de bourse. la valeur liquidative du FCP baissera doublement sur le même jour de bourse et les porteurs ne bénéficieront pas de la hausse de l’indice CAC40 Gross Total Return. Les ETF Lyxor sont des fonds d'investissement cotés en bourse qui procurent une exposition fidèle et bon marché à un indice de référence.,Amundi,Lyxor CAC 40 Daily Double Short UCITS ETF - Acc,1,PA,France,Equity
FR0010592014,EUR,FP,CAC 40 Leverage,,LVC,1,ETF,2,French market (CAC 40),Marché français (CAC 40),The Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc is an ETF compliant with the UCITS directive which seeks to replicate the performance of the benchmark CAC 40 Leveraged GR Index. The CAC 40 Leveraged GR Index strategy index is based on the CAC40® index (benchmark index) with a leverage effect of 2 both upwards and downwards. Thus. when the CAC40® rises (resp. falls) by 2%. the CAC 40 Leveraged GR Index strategy index rises (resp. falls) by 4% excluding financing costs and management fees. The index methodology is available at www.euronext.com Lyxor ETFs are exchange-listed investment funds that provide faithful and inexpensive exposure to a benchmark index.,Le Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc est un ETF conforme à la directive OPCVM qui cherche à reproduire la performance de l'indice de référence CAC 40 Leveraged GR Index. L'indice de stratégie CAC 40 Leveraged GR Index est fondé sur l'indice CAC40® (indice de référence) avec un effet de levier de 2 à la hausse comme à la baisse. Ainsi. quand le CAC40® monte (resp. baisse) de 2%. l'indice de stratégie CAC 40 Leveraged GR Index monte (resp. baisse) de 4% hors coût de financement et frais de gestion. La méthodologie de l'indice est disponible sur www.euronext.com Les ETF Lyxor sont des fonds d'investissement cotés en bourse qui procurent une exposition fidèle et bon marché à un indice de référence.,Amundi,Lyxor Daily Leverage CAC 40 UCITS ETF - Acc,1,PA,France,Equity
IE0031442068,EUR,FP,S&P 500,,IUSA,1,ETF,1,US market (S&P 500),Marché américain (S&P 500),The fund seeks to track the performance of an index composed of the 500 largest US companies,Le fond cherche à répliquer la performance d’un indice composé de 500 plus grandes sociétés américaines,iShares,iShares Core S&P 500 UCITS ETF USD (Dist),0,PA,France,Equity
IE00B0M62Q58,EUR,FP,MSCI World,,IWRD,1,ETF,1,Developed countries companies.,Entreprises des pays développés.,The Fund seeks to track the performance of an index composed of companies from developed countries.,Le fond cherche à répliquer la performance d’un indice composé de sociétés des pays développés.,iShares,iShares MSCI World UCITS ETF (Dist),0,PA,France,Equity
IE00B0M62Y33,EUR,FP,AEX,,IAEX,1,ETF,1,Dutch market (AEX® index),Marché  néerlandais (indice AEX®).,The Fund invest  in the stocks included  the AEX® index. AEX® index is the 25 largest and most actively traded shares of the Dutch stock market.,Le Fond investit dans les actions incluses dans l'indice AEX®. L'indice AEX® est composé des 25 actions les plus importantes et les plus activement négociées du marché boursier néerlandais,iShares,iShares AEX,0,PA,France,Equity
IE00B14X4S71,EUR,FP,ICE US Treasury 1-3Y Bond,,IBTS,1,ETF,1,US Treasury 1-3Y Bond,Bond du trésor américain (1-3 ans),The fund seeks to track the performance of an index composed of short term US Treasury Bills (1-3 years) denominated in USD.,Le fund cherche à répliquer la performance d’un indice composé de Bons du Trésor américain à cours terme (1-3 ans)  libellés en USD.,iShares,iShares USD Treasury Bond 1 3yr UCITS ETF,0,PA,France,Fixed Income
IE00B1YZSC51,EUR,FP,MSCI Europe,,IMEU,1,ETF,1,European developed countries companies.,Entreprises des pays développés d'Europe.,The Fund seeks to track the performance of an index composed of companies from developed countries in Europe.,Le fond cherche à répliquer la performance d’un indice composé de sociétés des pays développés d'Europe,iShares,iShares Core MSCI Europe UCITS ETF,0,PA,France,Equity
IE00B3RBWM25,EUR,FP,FTSE All-World Index,,VWRL,1,ETF,1,Shares of large and mid-sized company stocks in developed and emerging markets.,Actions de grandes et moyennes entreprises des marchés développés et émergents.,"Le Fonds a recours à une gestion passive – ou approche d'investissement indicielle. par l'acquisition physique de titres. et cherche à répliquer la performance de l'indice FTSE All-World (l'« Indice »).L'indice est composé d'actions de grandes et moyennes entreprises des marchés développés et émergents.Le Fonds tente de : 1. Suivre la performance de l'Indice en investissant dans un échantillon représentatif des titres composant l'Indice. 2. Rester entièrement investi sauf dans des conditions de marché. politiques ou similaires extraordinaires.","The Fund employs a passive management – or indexing – investment approach. through physical acquisition of securities. and seeks to track the performance of the performance of the FTSE All-World Index (the “Index”).The Index is comprised of large and mid-sized company stocks in developed and emerging markets.The Fund attempts to: 1. Track the performance of the Index by investing in a representative sample of Index constituent securities. 2. Remain fully invested except in extraordinary market. political or similar conditions.",Vanguard,Vanguard FTSE All-World UCITS ETF,0,PA,France,Equity
