,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq,AssetType
0,IE00BKP5L409,IMBE,iShares US Mortgage Backed Securities UCITS ETF EUR Hedged (Acc),France,FP,EUR,ETF,PA,Bloomberg Barclays US MBS,,Fixed Income
1,IE00BYPC1H27,CNYB,iShares China CNY Bond UCITS ETF - (USD) Dist,France,FP,USD,ETF,PA,BBG Barclays CH Treasury + PBI,Distribution,Fixed Income
2,IE00BJK55C48,EHYA,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Acc),France,FP,EUR,ETF,PA,Bbg MSCI Euro Corp HY BB+ SRI,,Fixed Income
3,LU2008761053,SRIC5,BNP PARIBAS EASY EUR CORP BOND SRI FOSSIL FREE 3-5Y UCITS ETF DISTRIBUTION,France,FP,EUR,ETF,PA,BBG MSCI € CorpSRI ExFossil3-5,,Fixed Income
4,IE00BKPSFD61,CYBA,iShares China CNY Bond UCITS ETF USD (Acc),France,FP,USD,ETF,PA,BbgBar China Tr+Pol Bk TR Ind$,Capitalisation,Fixed Income
5,IE00BKRWN659,DDBB,iShares $ Development Bank Bonds UCITS ETF USD (Acc),France,FP,USD,ETF,PA,Wrld Broad IG Multi Dv Bank Bd,Capitalisation,Fixed Income
6,IE00BK7Y2P34,SGLU,iShares Global Gvt Bond UCITS ETF USD Hedged (Acc),France,FP,USD,ETF,PA,Citigroup G7 Index,Capitalisation,Fixed Income
7,NL0009690247,TCBT,VanEck Vectors iBoxx EUR Corporates UCITS ETF,France,FP,EUR,ETF,PA,Markit iBoxx EUR Liq Corp,,Fixed Income
8,IE00BKF09C98,DHYD,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Dist),France,FP,USD,ETF,PA,BBMSCI U CrpHY Sust BB+ SRI Bd,Bi-Annually,Fixed Income
9,IE00BKT6FT27,IGLE,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),France,FP,EUR,ETF,PA,FTSE G7 Government Bond,,Fixed Income
10,NL0010273801,TAT,VanEck Vectors iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF,France,FP,EUR,ETF,PA,iBoxx Gov AAA-AA 1-5 Index,,Fixed Income
11,IE00BKT6VQ12,CYBE,iShares China CNY Bond UCITS ETF EUR Hedged (Acc),France,FP,EUR,ETF,PA,Bbg China Treas + Policy Bank,,Fixed Income
12,IE00BZ163H91,VETY,VANGUARD EUR EUROZONE GOVERNMENT BOND UCITS ETF,France,FP,EUR,ETF,PA,Euro Aggregate: Treasury,,Fixed Income
13,DE000A3GSUD3,VSOL,VanEck Vectors Solana ETN,France,FP,EUR,ETN,PA,MVIS CryptoCompare Solana Ind,,Fixed Income
14,IE00BKKKWJ26,SUOA,iShares $ Corp Bond ESG UCITS ETF USD (Acc),France,FP,USD,ETF,PA,BB MSCI US Crp Sustainable SRI,Capitalisation,Fixed Income
15,LU1778293313,GAHU,AMDI IDX BARCL AGG 500M UCITS ETF DR USD HEDG,France,FP,USD,ETF,PA,Bloomberg Brclys Glob Agg 500M,,Fixed Income
16,IE00BF553838,EMSA,iShares J.P. Morgan ESG EM Bond UCITS ETF USD (Acc),France,FP,EUR,ETF,PA,JP Morgan ESG EMBI Glob Divers,,Fixed Income
17,NL0009690254,TGBT,VanEck Vectors iBoxx EUR Sovereign Diversified 1-10 UCITS ETF,France,FP,EUR,ETF,PA,Markit iBoxx EUR LiqSovDiv1-10,,Fixed Income
18,IE0032523478,IBCX,iShares EUR Corp Bond Large Cap UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Markit iBoxx EUR Liquid LrgCap,,Fixed Income
19,IE00B3F81R35,IEAC,iShares Core EUR Corp Bond UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Corporate Bond,,Fixed Income
20,IE00B6X2VY59,IRCP,iShares EUR Corp Bond Interest Rate Hedged UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Bbg Eur Corp Interest rate Hd,,Fixed Income
21,LU1547515137,EMBH,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF H EUR Cap,France,FP,EUR,ETF,PA,JPM ESG EMBI Global Div (TR),Capitalisation,Fixed Income
22,IE00B0M62X26,IBCI,iShares Euro Inflation Linked Gov Bond UCITS ETF,France,FP,EUR,ETF,PA,Barclays Euro Gov Inflation,,Fixed Income
23,IE00BKLC5874,EHYD,iShares EUR High Yield Corp Bond ESG UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Bbg MSCI Euro Corp HY BB+ SRI,,Fixed Income
24,IE00BKS2X317,FSOV,First Trust Low Duration Global Government Bond UCITS ETF,France,FP,EUR,ETF,PA,.,,Fixed Income
25,IE00B4WXJJ64,IEGA,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Treasury Bond,,Fixed Income
26,IE00BCRY6003,SDHY,iShares $ Short Duration High Yield Corporate Bond UCITS ETF,France,FP,EUR,ETF,PA,iBoxx USD Liquid HY 0-5 Cap,Capitalisation,Fixed Income
27,IE00BL0BMG90,CGGD,iShares Global Govt Bond Climate UCITS ETF USD (Dist),France,FP,USD,ETF,PA,FTSE AdvClmte RskAdj Wd Gov Bd,Bi-Annually,Fixed Income
28,LU2244387457,GEMU,BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF Cap,France,FP,EUR,ETF,PA,JPM ESG EMU Govern 3-5Y (TR),Capitalisation,Fixed Income
29,IE00BK95B138,GOVT,iShares Treasury Bond UCITS ETF USD (Dist),France,FP,USD,ETF,PA,ICE US Treasury Core Bond Ind,Bi-Annually,Fixed Income
30,LU2182388236,EGRI,AMUNDI INDEX EURO AGG SRI UCITS ETF DR - EUR (C),France,FP,EUR,ETF,PA,BBG Barc MSCI EUR Agg Sus SRI,Capitalisation,Fixed Income
31,IE00B3DKXQ41,IEAG,iShares EUR Aggregate Bond UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Aggregate Bond,,Fixed Income
32,LU2037748774,ECRP3,AMUNDI INDEX EURO CORPORATE SRI 0-3Y-UCITS ETF DR,France,FP,EUR,ETF,PA,BBG BARCLAYS MSCI EUR Corp ESG,Capitalisation,Fixed Income
33,IE00BJK55B31,DHYE,iShares $ High Yield Corp Bond ESG UCITS ETF EUR (Acc),France,FP,EUR,ETF,PA,Bbg MSCI US Corp HY BB+ SRI,,Fixed Income
34,LU2356220926,ERTH,Lyxor Euro Government Green Bond (DR) UCITS ETF,France,FP,EUR,ETF,PA,Solactive Euro Gov Green Bond,Capitalisation,Fixed Income
35,LU1806495575,UCRP,AMUNDI INDEX US CORP SRI UCITS ETF DR - USD (C),France,FP,USD,ETF,PA,BBG BARCLAYS MSCI US Corp SRI,,Fixed Income
36,LU1484799769,CBSE,UBS (Lux) Fund Solutions - Bloomberg MSCI Euro Are,France,FP,EUR,ETF,PA,BBG MSCI EUR Area Liq Corp Sus,,Fixed Income
37,LU0721552973,UEFI,UBS (Lux) Fund Solutions - Bloomberg US 1-3 Year T,France,FP,EUR,ETF,PA,BBG US 7-10 Year Treasury Bond,,Fixed Income
38,LU1547515053,EMBI,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF Cap,France,FP,USD,ETF,PA,JPM ESG EMBI Global Div (TR),Capitalisation,Fixed Income
39,IE00B1FZS806,IBGM,iShares EUR Govt Bond 7-10yr UCITS ETF EUR (Dist),France,FP,EUR,ETF,PA,Barclays Euro Gov Bond 10Y,,Fixed Income
40,IE00BZ163M45,VUTY,VANGUARD USD TREASURY BOND UCITS ETF,France,FP,EUR,ETF,PA,Global Agg US Treasury Fl Adj,,Fixed Income
